Title,Author,Abstract
Chinese Cultural Values and Performance at Job Interviews: a Singapore Perspective,"Irene F. H. Wong, Lai Phooi-Ching","In a country like Singapore, which is rated high in power distance and low in indi vidualism (using Hofstede's dimensions of national cultures), interviews for entry- level positions in multinational corporations (MNCs) may reveal subtle clashes in culture. To test this hypothesis, we analyzed transcripts of job interviews involving nine English-speaking applicants from Chinese backgrounds and two experienced interviewers from Anglo-American MNCs in Singapore. Our assumption was that a person's cultural background and upbringing influence his or her perform ance at job interviews. The findings reveal that Chinese applicants tend to defer to the interviewer (i.e. superior) and focus on the group or family, besides being averse to self-assertion. Hence, applicants from a Chinese background may be dis advantaged when being interviewed for jobs with MNCs which are heavily influ enced by Anglo-American culture."
Ethical Preferences among Business Leaders: Implications for Business Schools,"Roger N. Conaway, Thomas L. Fernandez","Since 1976, the American Assembly of Collegiate Schools of Business (AACSB) has encouraged business schools to include ethics in their curricula. Because lan guage is the means for conveying values, including ethical values, business com munication faculty play an important role in deciding what should be taught, and how. But until very recently, most researchers failed to look specifically at actual practices and perceptions in the workplace. To address that need, we conducted a survey of 250 business leaders concerning their ethical preferences and compared our results with an earlier study of business faculty and students. The survey, adapted from one used in the Arthur Andersen Business Ethics Program, consists of 20 narratives which presented respondents with the need to judge the impor tance of certain issues and their approval or disapproval of the action or decision described. We found no significant differences in responses to the 14 items which addressed ethical issues in such areas as creating ..."
Computer Conversations and Writing Apprehension,Mark Mabrito,"As participants in a growing number of online business writing courses, students must communicate with each other and the instructor electronically. One group of students may face particular challenges in this environment: those with high degrees of writing apprehension. This study examined the online communications behavior of such students as they communicated with both familiar and unknown audiences via Internet newsgroups. Low-apprehensive writers tend to exhibit simi lar communication strategies in both types of newsgroups. But high-apprehensive writers contributed more, initiated more topics of discussion, and felt more com fortable participating in electronic discussions with unknown audiences than they did when communicating with familiar audiences."
Adapting an American-based Simulation to a Hong Kong Classroom,"Bertha Du-Babcock, Richard D. Babcock","Case studies tend to embed the language and values of the culture in which they are created. To use an American-based behavioural simulation, Looking Glass Inc., in Hong Kong, we needed to adapt it to the students' language environment and proficiency, their culturally derived behaviours, and their understanding of the context of American business. In Hong Kong, the norms prescribing language use are complex and contradictory; English is a major business, government, and legal language, but Cantonese and sometimes Mandarin have a continuing presence, especially in oral communication. The English in the simulation, however, reflect ing the authors' emphasis on realism, included slang and idiomatic expressions that were confusing even to students otherwise fluent in the language, and thus we had to modify materials to aid comprehension. We also had to adjust our administra tion of the materials to account for cultural differences between the individualistic and low power distance dimensions of the American ..."
The Key Role of Listening in Business: A Study of the Singapore Insurance Industry,"Valerie Priscilla Goby, Justus Helen Lewis","We tend to regard listening as a passive, automatic process that just happens rather than as a skill that is essential for good communication. Yet in reality effective lis tening is a skill that needs to be developed as a prerequisite for successful practice of the more 'active' skills of speaking and writing. The insurance industry is a prime example of an industry that relies heavily on good listening skills for effective marketing. We conducted a study in Singapore of how listening is perceived by people involved in insurance. We found that more experienced people were well aware of its key role although students majoring in insurance believed speaking was more important. This study confirms earlier research: in the insurance indus try in Singapore there is a gap between the perceived need for good listening and the degree to which good listening skills are perceived to be possessed by insurance agents."
A Strategic Consultancy Model for Establishing a Center for Business Communication,"Shirley Kuiper, Martha W. Thomas","As a result of a major revision of the undergraduate curriculum in the Darla Moore School of Business, University of South Carolina, we were given the task of establishing a center for business communication. Based on this experience, we present our strategic consultancy model for launching such a center. The model employs the strategic management paradigm of identifying the principle players in the process; identifying stakeholders; defining goals; analyzing strengths, weak nesses, opportunities, and threats (SWOT analysis); establishing consultancy relationships; and evaluating results. The model proved successful in writing a proposal for the center, implementing the center, and evaluating the center's work."
Professionals and Professors: Substance or Style?,"Srivatsa Seshadri, Larry D. Theye","To determine what aspects of writing are most important in a business context, previous researchers have often surveyed business professionals as well as business faculty. We recently took a different approach. We asked business professionals to critique and evaluate a set of writing samples. We then asked business faculty to evaluate the same samples, and we analyzed the results from the two groups. We found that professionals judge writing on different criteria than do faculty. While both groups emphasize organization, professionals also emphasize wording/style, content, and sentence structure more than do faculty, who emphasize conciseness, spelling/grammar, appearance, and purpose. In addition, professionals are signifi cantly more lenient in assigning grades than are faculty and spend less time in evaluating the writing. In general, business professionals judge papers more on substance (content) and less on style (mechanics) than do business faculty."
Perception is the Thing: Presenting Variant Worldviews in the International Business Communication Classroom,Mohan R. Limaye,"Two assumptions underlie the teaching of international business communication. First, perceptual variations exist within a country, and they sharpen even more across countries and cultures. International business communication students need to be aware of such differences on substantive issues. Second, critical pedagogy maintains that making students think and revisit their worldviews through an encounter with discomforting or decentering ideas is a valuable teaching and learn ing tool. Exposing students in my class to controversial propositions caused them to demonstrate a gamut of reactions from agreement and disagreement to anger, pity, disbelief, and a sense of discovery."
Using Experiential Learning Theory and the Myers-Briggs Type Indicator in Teaching Business Communication,"Valerie Priscilla Goby, Justus Helen Lewis","As more emphasis is placed on groupwork in business environments, management students need to be aware of the psychological underpinnings of communication. They also benefit from understanding how people learn because they are likely to have to incorporate such understanding when, as managers, they implement orga nizational change. Moreover, they have to become life-long learners themselves as they adapt to new business environments. Business communication classes can perform an important role in preparing students to meet these challenges by intro ducing them to the Myers-Briggs Type Indicator and Kolb's experiential learning cycle."
Writing Across the Accounting Curriculum: An Experiment,"Diane A. Riordan, Michael P. Riordan, M. Cathy Sullivan","To improve the writing skills of accounting students, we developed a structured writing effectiveness program across three junior level courses in the accounting major: tax, cost, and financial accounting. Writing counted for approximately five percent of the grade in each course and accounting professors discussed grammar, sentence structure, and word choice. A consulting expert on writing also con tributed to the program. We tested the results of our program empirically through both a pretest/posttest design and a control/treatment group comparison. The results provide evidence that our writing across the curriculum project significantly improved the students' writing skills."
