URL,Title,Author,Abstract
https/academic.microsoft.com/#/detail/1964829085,"STC's First Academic , Salary Survey, 2003",Sandi Harner,"
                            This article reports United States salary data from the April 2003 survey of Society for Technical Communication members who identify themselves as educators. It provides analysis of salary data based on type of institution, rank, tenure status, experience, education level, sex, and age. It also reports on benefits, administrative responsibilities, job satisfaction, and program size.
                        "
https/academic.microsoft.com/#/detail/1965110024,"What's Civic About Technical Communication? Technical Communication and the Rhetoric of ""Community""","Cezar M. Ornatowski, Linn K. Bekins","
                            Although the concept of community has been advanced in technical communication as a moral reference point for civic rhetorical action, this concept is typically used in romantic, redemptive, and essentializing ways. This article argues for a radical and symbolic/rhetorical view of community, regarding it a discursive construct purposefully invoked by technical writers for strategic reasons.
                        "
https/academic.microsoft.com/#/detail/1965208086,The Rhetoric of Enterprise Content Management (ECM): Confronting the Assumptions Driving ECM Adoption and Transforming Technical Communication,Rebekka Andersen,"
                            This article lays out some of the key issues driving organizations' increasing interest in enterprise content management (ECM). It then problematizes both the rhetoric that technology developers are using to sell ECM technologies to business leaders and the assumptions on which business leaders are basing critical technology implementation decisions. Finally, it argues why technical communicators must take action—through direct participation in the ECM discourse—to shift the rhetoric that is structuring the ECM debate and thus shaping the potential of the field of technical communication.
                        "
https/academic.microsoft.com/#/detail/1965214395,Immersion in a Digital Pool: Training Prospective Online Instructors in Online Environments,Kelli Cargile Cook,"
                            This article argues that the online environment is optimal for teaching prospective instructors how to develop and implement online courses. To support this claim, the author draws on hypertext theories to define the online course archive as a constructive hypertext and to describe the work the course archive is able to do when used to instruct prospective online instructors. The claim is further supported through a quantitative and qualitative analysis of a course archive.
                        "
https/academic.microsoft.com/#/detail/1965255509,Ralph Lane's 1586 Discourse on the First Colony: The Renaissance Commercial Report as Apologia,Michael G. Moran,"
                            In 1584 Sir Walter Raleigh received from Queen Elizabeth a patent to colonize any region of North America not possessed by a Christian prince. In 1585 he sent a fleet of seven ships to plant a colony under the governorship of Ralph Lane on Roanoke Island near what is now the Outer Banks of North Carolina. The colony lasted less than a year and then returned to England, where Lane produced a commercial report explaining the failure. Using research from speech communication on the rhetoric of apologia, this essay analyzes Lane's attempts to answer four criticisms of his governorship: that he mistreated the Indians, that he failed to explore the region to find commodities valuable to Raleigh and his investors, that he was an incompetent military commander, and that he deserted the colony. The essay also evaluates Lane's recommendations that future colonies be established further north on the Chesapeake Bay.
                        "
https/academic.microsoft.com/#/detail/1965415203,Emergent Genres in Young Disciplines: The Case of Ethnological Science,Brent R. Henze,"
                            Although the rhetoric of relatively stable scientific disciplines has been studied extensively, less attention has been paid to discourse formation in young disciplines. The author extends recent theories of genre and disciplinary discourse in a close rhetorical analysis of early papers in ethnological science. Practitioners apply extant rhetorical resources to new disciplinary problems as they learn to identify themselves as participants in a collective project. The young discipline ""learns"" its discourse from its practitioners.
                        "
https/academic.microsoft.com/#/detail/1966184065,Designing Procedural Graphics for Surgical Patient-Education Modules: An Experimental Study,Debopriyo Roy,"
                            To understand how readers approach mechanical procedural instructions, this study tested surgical patient-education modules for the effectiveness of route and survey spatial perspectives in text. The results showed that subjects' ability to comprehend an intricate procedural action in surgery varies with learning styles and task approach along with different text-graphic perspectives. Overall, survey perspective worked better than route perspective in text. Readers' self-reporting of task difficulty and the effects of practicing did not notably affect their judgment.
                        "
https/academic.microsoft.com/#/detail/1967432878,"Popularizing Nanoscience: The Public Rhetoric of Nanotechnology, 1986–1999",Brenton Faber,"
                            This study examines the representations of nanoscale science and technology in written popular media from 1986 to 1999. Nanoscale science is an emergent field that examines the principles of matter at a molecular level. This article presents the representations through which nanoscale science and technology was initially introduced to the public. Written popular media influences the ways stakeholder groups perceive, support, and fund science and technology. From 1986 to 1999 this field was introduced to the general public through articles in newspapers, magazines, and other general interest publications. During this period, nanoscale science and technology had a fragmented public image as proponents of various representations of the field competed for legitimacy. The study demonstrates that the emergence of nanoscience and technology in the popular media occurred as a competitive and transitional social–rhetorical process in which the new emerged within existing and established understandings of science b...
                        "
https/academic.microsoft.com/#/detail/1968037140,Rational management: Medical authority and ideological conflict in Ruth Lawrence's breastfeeding: A guide for the medical profession,Bernice L. Hausman,"
                            This article presents a close reading of one chapter of the only guidebook written for physicians about the clinical management of breastfeeding. The medical discussion of the psychological aspects of breastfeeding articulates conflicting ideological views of women and their place in society, demonstrating how medicine reflects and contributes to a cultural context that is ambivalent about women's changing roles and the transformation of their practices as mothers. At stake is medicine's role in regulating maternal behavior.
                        "
https/academic.microsoft.com/#/detail/1968045717,Technical Communication from 1850-1950: Where Have We Been?.,Teresa Kynell,"
                            As the discipline of technical communication undergoes increasing scrutiny by scholars and teachers and as the discipline continues to evolve with advancements in technology, we should pause to consider some foundational, historical issues that led to the formation of a technical communication pedagogy in the first place. This piece evaluates shifts in an engineering curriculum from roughly 1850 to 1960 that made possible the development of a technical communication curriculum.
                        "
